Surface Word,Kamba Lemma,English translation,Glossing,Match Type
ndwosawa,ndwosawa,[Translation Missing],ndwosawa,No Lexicon Match
ĩtheo,ĩtheo,[Translation Missing],ĩtheo,No Lexicon Match
mũsyĩ,mũsyĩ,[Translation Missing],mũsyĩ,No Lexicon Match
Ũsĩnĩ,ũsĩnĩ,[Translation Missing],ũsĩnĩ,No Lexicon Match
ngunĩ,ngunĩ,[Translation Missing],ngunĩ,No Lexicon Match
Kĩwũ,kĩwũ,[Translation Missing],kĩwũ,No Lexicon Match
mangaa,mangaa,[Translation Missing],mangaa,No Lexicon Match
mekaa,mekaa,[Translation Missing],mekaa,No Lexicon Match
kweela,eela,[Translation Missing],kweela,No Lexicon Match
ngũlimũ,ngũlimũ,[Translation Missing],ngũlimũ,No Lexicon Match
ĩvũĩ,ĩvũĩ,[Translation Missing],ĩvũĩ,No Lexicon Match
ndyonawa,wa,[Translation Missing],ndyonawa,No Lexicon Match
maeo,eo,[Translation Missing],maeo,No Lexicon Match
Ndunduli,uNdunduli,[Translation Missing],ndunduli,No Lexicon Match
nthũku,nthũku,[Translation Missing],nthũku,No Lexicon Match
ĩkawa,wa,[Translation Missing],ĩka-wa,No Lexicon Match
kĩlĩo,kĩlĩo,[Translation Missing],kĩlĩo,No Lexicon Match
ngalĩko,ngalĩko,[Translation Missing],ngalĩko,No Lexicon Match
Ndundulu,uNdundulu,[Translation Missing],ndundulu,No Lexicon Match
yatilwa,lwa,[Translation Missing],yatilwa,No Lexicon Match
ngingo,ngingo,[Translation Missing],ngingo,No Lexicon Match
ĩtwĩkaa,ĩtwĩkaa,[Translation Missing],ĩtwĩkaa,No Lexicon Match
ngũkũ,ngũkũ,[Translation Missing],ngũkũ,No Lexicon Match
Kasĩĩlĩlĩ,sĩĩlĩlĩ,[Translation Missing],sĩĩlĩlĩ,No Lexicon Match
eetĩwe,etĩwe,[Translation Missing],etĩwe,No Lexicon Match
kũsĩĩlĩla,sĩĩlĩla,[Translation Missing],sĩĩlĩla,No Lexicon Match
akĩsĩĩlĩlĩkĩla,kĩsĩĩlĩlĩkĩla,[Translation Missing],kĩsĩĩlĩlĩkĩla,No Lexicon Match
kĩsĩĩlĩlonĩ,kĩsĩĩlĩlonĩ,[Translation Missing],kĩsĩĩlĩlonĩ,No Lexicon Match
Kambee,kambea,[Translation Missing],kambee,No Lexicon Match
noko,noko,[Translation Missing],noko,No Lexicon Match
kĩndalĩ,kĩndalĩ,[Translation Missing],kĩndalĩ,No Lexicon Match
kathũku,thũku,[Translation Missing],ka-thũku,No Lexicon Match
kĩmbu,kĩmbu,[Translation Missing],kĩmbu,No Lexicon Match
kĩivĩtĩlwa,vĩtĩlwa,[Translation Missing],kĩivĩtĩlwa,No Lexicon Match
ĩtoloka,ĩtoloka,[Translation Missing],ĩtoloka,No Lexicon Match
Ngwete,ngwete,[Translation Missing],ngwete,No Lexicon Match
ngwete,ngwete,[Translation Missing],ngwete,No Lexicon Match
yaana,waana,[Translation Missing],yaana,No Lexicon Match
mwikithi,mwikithi,[Translation Missing],mwikithi,No Lexicon Match
nũthi,nũthi,[Translation Missing],nũthi,No Lexicon Match
Mwiiyi,uMwiiyi,[Translation Missing],uMwiiyi,No Lexicon Match
mũka,mũka,[Translation Missing],mũka,No Lexicon Match
alĩkaa,lĩkaa,[Translation Missing],lĩkaa,No Lexicon Match
nzoka,nzoka,[Translation Missing],nzoka,No Lexicon Match
enũkĩte,nũkĩta,[Translation Missing],enũkĩte,No Lexicon Match
maaũ,maaũ,[Translation Missing],maaũ,No Lexicon Match
Nganga,nganga,[Translation Missing],nganga,No Lexicon Match
ĩ,ĩ,[Translation Missing],ĩ,No Lexicon Match
mbaa,mbaa,[Translation Missing],mbaa,No Lexicon Match
Nĩ,nĩ,[Translation Missing],nĩ,No Lexicon Match
nganga,nganga,[Translation Missing],nganga,No Lexicon Match
ĩalyũlĩte,lyũla,[Translation Missing],ĩalyũlĩte,No Lexicon Match
mwasyo,mwasyo,[Translation Missing],mwasyo,No Lexicon Match
Makanga,kanga,[Translation Missing],makanga,No Lexicon Match
nda,nda,[Translation Missing],nda,No Lexicon Match
mayusasya,yusasya,[Translation Missing],mayusasya,No Lexicon Match
mũsũkũi,mũsũkũi,[Translation Missing],mũsũkũi,No Lexicon Match
Kĩthũi,thũi,[Translation Missing],kĩthũi,No Lexicon Match
ũlembwa,lemba,[Translation Missing],ũlembwa,No Lexicon Match
Kyelelo,elelo,[Translation Missing],kyelelo,No Lexicon Match
ĩkenge,ĩkenge,[Translation Missing],ĩkenge,No Lexicon Match
kũkwatya,kwatya,[Translation Missing],kũkwatya,No Lexicon Match
kalekelye,lekela,[Translation Missing],kalekela,No Lexicon Match
vonekaa,vonekaa,[Translation Missing],vonekaa,No Lexicon Match
Katumbĩlĩle,tumbĩla,[Translation Missing],tumbĩlĩle,No Lexicon Match
tikoneki,kona,[Translation Missing],ti-koneki,No Lexicon Match
nĩko,nĩko,[Translation Missing],nĩko,No Lexicon Match
kayonanasya,onanasya,[Translation Missing],kayonanasya,No Lexicon Match
kokĩla,kĩla,[Translation Missing],kokĩla,No Lexicon Match
Wangangaa,wangangaa,[Translation Missing],wangangaa,No Lexicon Match
ĩkengeni,ĩkenga,[Translation Missing],ĩkenga,No Lexicon Match
ndwaatonganga,tonganga,[Translation Missing],ndwaa-tonganga,No Lexicon Match
ũmwalyo,ũmwalyo,[Translation Missing],ũmwalyo,No Lexicon Match
Ĩvyũvya,ĩvyũvya,[Translation Missing],ĩvyũvya,No Lexicon Match
mũthwa,mũthwa,[Translation Missing],mũthwa,No Lexicon Match
Makaanĩ,kaanĩ,[Translation Missing],makaanĩ,No Lexicon Match
kũti,kũti,[Translation Missing],kũti,No Lexicon Match
ngũũ,ngũũ,[Translation Missing],ngũũ,No Lexicon Match
nĩkaa,nĩkaa,[Translation Missing],nĩkaa,No Lexicon Match
mwithe,mwithe,[Translation Missing],mwithe,No Lexicon Match
mawĩa,wĩa,[Translation Missing],mawĩa,No Lexicon Match
nĩvĩĩye,vĩĩa,[Translation Missing],nĩvĩĩye,No Lexicon Match
kĩthiita1,thiita1,[Translation Missing],kĩ-thiita1,No Lexicon Match
yatũla,tũla,[Translation Missing],tũla,No Lexicon Match
ĩtaa,ĩtaa,[Translation Missing],ĩtaa,No Lexicon Match
ndĩvithaa,vithaa,[Translation Missing],ndĩvithaa,No Lexicon Match
Mũtei,tei,[Translation Missing],mũtei,No Lexicon Match
mũkwa,mũkwa,[Translation Missing],mũkwa,No Lexicon Match
wavĩtya,vĩtya,[Translation Missing],vĩtya,No Lexicon Match
ũtonyaa,tonyaa,[Translation Missing],ũ-tonyaa,No Lexicon Match
nzongo,nzongo,[Translation Missing],nzongo,No Lexicon Match
kwananga,nanga,[Translation Missing],kwananga,No Lexicon Match
maangi,angi,[Translation Missing],maangi,No Lexicon Match
nzĩa,nzĩa,[Translation Missing],nzĩa,No Lexicon Match
Ndũkonũve,konũva,[Translation Missing],ndũkonũve,No Lexicon Match
ngoso,ngoso,[Translation Missing],ngoso,No Lexicon Match
kĩvũĩyo,kĩvũĩyo,[Translation Missing],kĩvũĩyo,No Lexicon Match
Ngoso,uNgoso,[Translation Missing],ngoso,No Lexicon Match
kyengonĩ,engonĩ,[Translation Missing],engonĩ,No Lexicon Match
ndivivaswa,vaswa,[Translation Missing],ndi-vivaswa,No Lexicon Match
ĩũlũ,ĩũlũ,[Translation Missing],ĩũlũ,No Lexicon Match
ndi,ndi,[Translation Missing],ndi,No Lexicon Match
kĩvalala,valala,[Translation Missing],kĩ-valala,No Lexicon Match
Masũni,uMasũni,[Translation Missing],masũni,No Lexicon Match
makũũ,kũũ,[Translation Missing],makũũ,No Lexicon Match
mambaa,mambaa,[Translation Missing],mambaa,No Lexicon Match
andũ,wandũ,[Translation Missing],andũ,No Lexicon Match
mai,mai,[Translation Missing],mai,No Lexicon Match
ũvakũsi,ũvakũsi,[Translation Missing],ũvakũsi,No Lexicon Match
Wĩvũa,vũa,[Translation Missing],wĩvũa,No Lexicon Match
itakũũlũka,kũũlũka,[Translation Missing],itakũũlũka,No Lexicon Match
Kwaa,kwaa,[Translation Missing],kwaa,No Lexicon Match
ngũngũũ,ngũngũũ,[Translation Missing],ngũngũũ,No Lexicon Match
kimba,kimba,[Translation Missing],kimba,No Lexicon Match
Kaũ,kaũ,[Translation Missing],kaũ,No Lexicon Match
ĩtoli,ĩtoli,[Translation Missing],ĩtoli,No Lexicon Match
ũtanu,ũtanu,[Translation Missing],ũtanu,No Lexicon Match
Ngũngũũ,ngũũ,[Translation Missing],ngũngũũ,No Lexicon Match
ndĩsa,ndĩsa,[Translation Missing],ndĩsa,No Lexicon Match
ũtuma,ũtuma,[Translation Missing],ũtuma,No Lexicon Match
mũũngũu,mũũngũu,[Translation Missing],mũũngũu,No Lexicon Match
yonaa,onaa,[Translation Missing],yonaa,No Lexicon Match
vaasa,asa,[Translation Missing],vaasa,No Lexicon Match
vaa,vaa,[Translation Missing],vaa,No Lexicon Match
Kasũni,kasũni,[Translation Missing],kasũni,No Lexicon Match
kokĩlaa,kĩlaa,[Translation Missing],kokĩlaa,No Lexicon Match
tene,tene,[Translation Missing],tene,No Lexicon Match
niko,niko,[Translation Missing],niko,No Lexicon Match
kakwataa,kwataa,[Translation Missing],kwataa,No Lexicon Match
kiinyũ,inyũ,[Translation Missing],kiinyũ,No Lexicon Match
Kasoni,soni,[Translation Missing],kasoni,No Lexicon Match
wavĩwe,vĩwa,[Translation Missing],vĩwe,No Lexicon Match
akĩlasya,lasya,[Translation Missing],a-kĩ-lasya,No Lexicon Match
omanya,manya,[Translation Missing],omanya,No Lexicon Match
kyathĩ,thĩ,[Translation Missing],thĩ,No Lexicon Match
nĩkyavika,vika,[Translation Missing],vika,No Lexicon Match
Ona,ona,[Translation Missing],ona,No Lexicon Match
kaunyũsye,unyũsa,[Translation Missing],unyũsya,No Lexicon Match
kolũkaa,lũkaa,[Translation Missing],kolũkaa,No Lexicon Match
kaikitalasya,talasya,[Translation Missing],kaikitalasya,No Lexicon Match
ũseki,ũseki,[Translation Missing],ũseki,No Lexicon Match
katanamba,tanamba,[Translation Missing],katanamba,No Lexicon Match
kũũlũka,ũlũka,[Translation Missing],kũũlũka,No Lexicon Match
kambaa,kambaa,[Translation Missing],kambaa,No Lexicon Match
ũtumbĩlĩla,tumbĩlĩla,[Translation Missing],ũtumbĩlĩla,No Lexicon Match
Kavaa,vaa,[Translation Missing],vaa,No Lexicon Match
kasũni,kasũni,[Translation Missing],kasũni,No Lexicon Match
kamwe,kamwe,[Translation Missing],kamwe,No Lexicon Match
kwokonĩ,konĩ,[Translation Missing],kwokonĩ,No Lexicon Match
twĩlĩ,twĩlĩ,[Translation Missing],twĩlĩ,No Lexicon Match
wavĩyawa,vĩyawa,[Translation Missing],vĩyawa,No Lexicon Match
nyonyi,nyonyi,[Translation Missing],nyonyi,No Lexicon Match
kĩtoli,kĩtoli,[Translation Missing],kĩ-toli,No Lexicon Match
kyaasindana,sindana,[Translation Missing],kyaasindana,No Lexicon Match
ndandaalika,alika,[Translation Missing],ndandaalika,No Lexicon Match
Ĩkũya,ya,[Translation Missing],ĩkũya,No Lexicon Match
nĩyo,nĩyo,[Translation Missing],nĩyo,No Lexicon Match
maumĩ,umĩ,[Translation Missing],maumĩ,No Lexicon Match
Ĩvĩndĩ,ĩvĩndĩ,[Translation Missing],ĩvĩndĩ,No Lexicon Match
yaemie,ema,[Translation Missing],ema,No Lexicon Match
ngitĩ,ngitĩ,[Translation Missing],ngitĩ,No Lexicon Match
ekanaa,kanaa,[Translation Missing],ekanaa,No Lexicon Match
nayo,nayo,[Translation Missing],nayo,No Lexicon Match
ata,ta,[Translation Missing],ata,No Lexicon Match
Kala,kala,[Translation Missing],kala,No Lexicon Match
kevwia,vwia,[Translation Missing],ke-vwia,No Lexicon Match
kenũkĩaa,kenũkĩaa,[Translation Missing],kenũkĩaa,No Lexicon Match
inya,inya,[Translation Missing],inya,No Lexicon Match
Kasamũ,samũ,[Translation Missing],samũ,No Lexicon Match
kanini,kanini,[Translation Missing],kanini,No Lexicon Match
kaĩĩa,ĩĩa,[Translation Missing],ĩĩa,No Lexicon Match
Kanywa,nywa,[Translation Missing],kanywa,No Lexicon Match
ũumaa,ũumaa,[Translation Missing],ũumaa,No Lexicon Match
mũingo,mũingo,[Translation Missing],mũingo,No Lexicon Match
syĩthesyaa,thesyaa,[Translation Missing],syĩthesyaa,No Lexicon Match
mavĩndĩ,vĩndĩ,[Translation Missing],ma-vĩndĩ,No Lexicon Match
katũlile,tũla,[Translation Missing],tũla,No Lexicon Match
nyinya,nyinya,[Translation Missing],nyinya,No Lexicon Match
Kyonze,onda,[Translation Missing],kyonza,No Lexicon Match
kĩminũkĩlaswa,kĩminũkĩlaswa,[Translation Missing],kĩminũkĩlaswa,No Lexicon Match
Kĩsaa,saa,[Translation Missing],kĩsaa,No Lexicon Match
kĩvoyaa,voyaa,[Translation Missing],kĩ-voyaa,No Lexicon Match
ĩmwenĩ,ĩmwenĩ,[Translation Missing],ĩmwenĩ,No Lexicon Match
Mbiti,uMbiti,[Translation Missing],mbiti,No Lexicon Match
ndyendaa,endaa,[Translation Missing],ndy-endaa,No Lexicon Match
mũsolonĩ,mũsolonĩ,[Translation Missing],mũsolonĩ,No Lexicon Match
iingĩ,ingĩ,[Translation Missing],ingĩ,No Lexicon Match
Kũtukĩwa,tukĩwa,[Translation Missing],tukĩwa,No Lexicon Match
tikwo,tikwo,[Translation Missing],tikwo,No Lexicon Match
kũlĩka,lĩka,[Translation Missing],kũ-lĩka,No Lexicon Match
Kũndũ,kũndũ,[Translation Missing],kũndũ,No Lexicon Match
ũkaaya,ya,[Translation Missing],ũkaaya,No Lexicon Match
ndũkaawetee,wetea,[Translation Missing],ndũkaawetee,No Lexicon Match
ndatalaa,talaa,[Translation Missing],talaa,No Lexicon Match
maũmangwa,ũmangwa,[Translation Missing],maũmangwa,No Lexicon Match
Mwĩao,mwĩao,[Translation Missing],mwĩao,No Lexicon Match
mũonza,onza,[Translation Missing],mũ-onza,No Lexicon Match
wasyaa,syaa,[Translation Missing],syaa,No Lexicon Match
weethĩa,ethĩa,[Translation Missing],weethĩa,No Lexicon Match
ndũkatie,ta,[Translation Missing],ndũkatia,No Lexicon Match
