Surface Word,Gikuyu Lemma,English translation,Glossing,Match Type
gwithokia,thokia,[Translation Missing],gwithokia V;PRS,No Lexicon Match
tene,tene,[Translation Missing],tene,No Lexicon Match
ithendu,ithendu,[Translation Missing],ithendu N;SG;BANTU9,No Lexicon Match
Mugathi,mugathi,"bead, bead(s)",mugathi N;SG;BANTU1,PanLex Exact Match
unyonie,nyona,[Translation Missing],nyona V;PST;REC;2;SG,No Lexicon Match
ndikinyaga,kirinyaga,Mount Kenya,nyaga V;PRS;PROG;1;SG,Substring Overlap
matirutaga,iruta,learn,tirutaga V;PST;REC;2;PL,Substring Overlap
ukinyaga,kirinyaga,Mount Kenya,nyaga V;PRS;PROG;2;SG,Substring Overlap
itiaganaga,agana,wicked,itiaganaga,Substring Overlap
githeri,theri,"light, sky",githeri N;SG;BANTU1,Substring Overlap
muhuririe,huri,lung,huriria V;PST;REC;2;PL,Substring Overlap
Kionje,onja,[Translation Missing],onje V;PRS;HAB;3;SG,No Lexicon Match
kiraragia,ragia,[Translation Missing],ragia V;PRS;PROG;3;SG,No Lexicon Match
gitei,gitei,[Translation Missing],gitei N;SG;BANTU1,No Lexicon Match
acoke,coka,"return, go back",coka V;PST;REC;3;SG,PanLex Exact Match
igwatagia,gwatagia,[Translation Missing],gwatagia V;PRS,No Lexicon Match
Kagwaci,gwaci,"potato, (sweet) potato",gwaci V;PST;REC;3;SG,PanLex Exact Match
wene,mwene,self,wene DET;POSS;PSS1P;BANTU1,Substring Overlap
utonwo,utonwo,[Translation Missing],utonwo N;SG;BANTU1,No Lexicon Match
nyungu,nyungu,"cooking pot, (earthen) cooking pot, pot, vessel",nyungu N;SG;BANTU10,PanLex Exact Match
Kwionera,ona,[Translation Missing],ionera N;SG;BANTU15,No Lexicon Match
irigu,irigu,"banana, banana (fruit)",irigu,PanLex Exact Match
ndunenganagirwo,gana,hundred,nenganagirwo V;PRS;1;SG,Substring Overlap
Huni,huni,whistling,huni DET;POSS;PSS1P;BANTU1,PanLex Exact Match
Mukari,umukari,[Translation Missing],uMukari,No Lexicon Match
akarega,rega,"refuse, say no",rega V;PST;REM;3;SG,PanLex Exact Match
gutigiragia,tigiragia,[Translation Missing],gutigiragia V;PRS,No Lexicon Match
Gutiri,gutiri,[Translation Missing],Gutiri N;SG;BANTU1,No Lexicon Match
magua,gua,"fall, hear",gua V;PST;REC;2;PL,PanLex Exact Match
matiendaga,enda,"love, want, need, wish",tiendaga V;PST;REC;2;PL,Substring Overlap
kabaritaga,bari,clan,baritaga V;PST;REC;3;SG,Substring Overlap
kogi,kogi,[Translation Missing],kogi PRO;INT;NEG,No Lexicon Match
muki,amukira,receive,muki N;SG;BANTU1,Substring Overlap
Karaguthwo,raguthwo,[Translation Missing],Karaguthwo N;SG;BANTU15,No Lexicon Match
Hari,hari,"line, row",hari DET;POSS;PSS1P;BANTU4,PanLex Exact Match
ndiremaga,remaga,[Translation Missing],remaga V;PRS;HAB;1;SG,No Lexicon Match
arume,ruma,"bite, abuse",ruma V;PST;REC;3;SG,PanLex Exact Match
Kunyitwo,nyitwo,[Translation Missing],nyitwo V;PRS;HAB;3;SG,No Lexicon Match
Kuri,gukuria,"bring up, bring up (a child)",kuri DET;POSS;PSS1P;BANTU1,Substring Overlap
ndia,ndia,pool,ndia DET;POSS;PSS1P;BANTU9,PanLex Exact Match
gitanakua,tana,"instruct, teach",gitanakua V;PRS,Substring Overlap
thigari,gari,leopard,thigari N;SG;BANTU10,Substring Overlap
Iriaga,aga,[Translation Missing],iriaga,No Lexicon Match
yongithagiria,giri,"two, warthog, enclosure, fence",thagiria V;PRS;HAB;3;SG,Substring Overlap
ngingo,ngingo,neck,ngingo N;SG;BANTU9,PanLex Exact Match
nomo,nomo,[Translation Missing],nomo N;SG;BANTU9,No Lexicon Match
a,a,"T, Th.",a COP;ID;BANTU6,PanLex Exact Match
gitikuonwo,ona,[Translation Missing],gitikuonwo N;SG;BANTU14,No Lexicon Match
makoro,koro,skin,makoro N;PL;BANTU6,Substring Overlap
Gatitu,titu,forest,Gatitu N;SG;BANTU1,Substring Overlap
Kaihu,kaihu,[Translation Missing],Kaihu N;SG;BANTU15,No Lexicon Match
muitha,ciarithania,midwife,muitha N;SG;BANTU1,Substring Overlap
nikuo,nikuo,[Translation Missing],nikuo N;SG;BANTU9,No Lexicon Match
ndugo,ndugo,[Translation Missing],ndugo N;SG;BANTU10,No Lexicon Match
hatiitangagwo,itanga,paddle,hatiitangagwo V;FUT,Substring Overlap
ngicayaga,cayaga,[Translation Missing],cayaga V;PRS;HAB;1;SG,No Lexicon Match
no,no,[Translation Missing],no DET;PROX;BANTU9,No Lexicon Match
gwathwo,gwathwo,[Translation Missing],gwathwo N;SG;BANTU1,No Lexicon Match
Kiunuhu,unuhu,[Translation Missing],unuhu N;SG;BANTU15,No Lexicon Match
uthoni,muthoniwa,"father-in-law, mother-in-law",uthoni N;SG;BANTU1,Substring Overlap
itiri,itirira,giraffe,itiri,Substring Overlap
nyama,ndiriaga nyama,"I don’t eat meat, I don't eat meat",nyama N;SG;BANTU9,Substring Overlap
gitiunanagirwo,gitiunanagirwo,[Translation Missing],gitiunanagirwo N;SG;BANTU1,No Lexicon Match
mugete,geta,[Translation Missing],geta V;PST;REC;2;PL,No Lexicon Match
inyuagira,nyuagira,[Translation Missing],inyuagira N;SG;BANTU9,No Lexicon Match
mura,mura,wring,mura V;PRS,PanLex Exact Match
thii,ingira thiini,penetrate,thii DET;POSS;PSS1P;BANTU1,Substring Overlap
thahu,thahu,[Translation Missing],thahu PRO;INT;INTENS,No Lexicon Match
ritiagaga,agaga,[Translation Missing],ritiagaga V;PRS,No Lexicon Match
irathinjirwo,thinjirwo,[Translation Missing],thinjirwo V;PRS;PROG;3;SG,No Lexicon Match
matigiragia,tigiragia,[Translation Missing],tigiragia V;PST;REC;2;PL,No Lexicon Match
karithoitha,thoitha,[Translation Missing],thoitha V;PST;REC;3;SG,No Lexicon Match
ngoro,ngoro,"heart, soul, spirit",ngoro,PanLex Exact Match
githaka,githaka,"bush, thicket",githaka V;PRS,PanLex Exact Match
kuhuma,huma,"breath, breathing",huma V;NFIN,PanLex Exact Match
Karegi,regi,[Translation Missing],Karegi N;SG;BANTU1,No Lexicon Match
gitithiraga,thiraga,[Translation Missing],gitithiraga V;PRS,No Lexicon Match
Kwigita,igita,[Translation Missing],igita N;SG;BANTU15,No Lexicon Match
murigwa,igwa,thorn,murigwa N;PL;BANTU1,Substring Overlap
ikahu,ikahu,[Translation Missing],ikahu N;SG;BANTU9,No Lexicon Match
maingi,hingira,close,ingi ADJ;BANTU6,Substring Overlap
Maheni,ha,[Translation Missing],uMaheni N;PL;BANTU2,No Lexicon Match
muru,muru,mosquito,muru N;SG;BANTU1,PanLex Exact Match
Muka,humuka,"breathe, rest",uMuka N;SG;BANTU1,Substring Overlap
nook,nook,[Translation Missing],nook DET;PROX;BANTU9,No Lexicon Match
utukarugwo,utukarugwo,[Translation Missing],utukarugwo N;SG;BANTU1,No Lexicon Match
giakura,giaku,"your, yours, yours (plural)",giakura V;PST,Substring Overlap
ruiyuru,ruiyuru,[Translation Missing],ruiyuru N;SG;BANTU11,No Lexicon Match
itiathanaga,thanaga,[Translation Missing],thanaga V;FUT,No Lexicon Match
mwiri,mwiri,body,mwiri N;SG;BANTU1,PanLex Exact Match
Mucaria,caria,"search for, search, search (diligently)",caria V;PRS,PanLex Exact Match
ndamenyagwo,enya,shave,menyagwo V;PST;REC;1;SG,Substring Overlap
ikenagira,kenagira,[Translation Missing],kenagira V;PRS,No Lexicon Match
gikeno,gikeno,[Translation Missing],gikeno N;SG;BANTU10,No Lexicon Match
ireraga,reraga,[Translation Missing],ireraga,No Lexicon Match
murii,muri,root,murii N;SG;BANTU1,Substring Overlap
kuonagia,onagia,[Translation Missing],onagia V;NFIN,No Lexicon Match
gitina,itina,buttock,gitina V;PRS,Substring Overlap
muciarire,ciara,bear child,ciara V;PST;REC;2;PL,PanLex Exact Match
ciathii,thia,"point, tip, highest point, utmost, keep livestock",ciathii N;SG;BANTU10,PanLex Exact Match
gukura,guku,"fowl, hen, hump, hump (of hunchback)",Gukura V;PRS;HAB;3;SG,Substring Overlap
Kanyoni,kanyoni,[Translation Missing],unyoni N;SG;BANTU1,No Lexicon Match
Maguta,guta,"idleness, sloth, oil, oil (from plants)",guta V;PST;REC;3;SG,PanLex Exact Match
kirugamanio,gama,"come to a halt, pull up",kirugamanio N;SG;BANTU15,Substring Overlap
ikaya,ya,steal,ya V;PRS;HAB;3;SG,PanLex Exact Match
Kanya,nya,"four, calabash",Kanya V;PRS;HAB;3;SG,PanLex Exact Match
gukoroka,koro,skin,gukoroka V;PRS,Substring Overlap
Muhandi,handa,"plant, sow",handi V;PRS;HAB;3;SG,PanLex Exact Match
Watatua,tatua,[Translation Missing],tatua V;PST;REC;3;PL,No Lexicon Match
mukiri,mukiri,[Translation Missing],mukiri N;SG;BANTU1,No Lexicon Match
Kiara,ara,"rubbish heap, toe",Kiara,PanLex Exact Match
mbirira,biri,"cloud of dust, dust",mbirira N;SG;BANTU1,Substring Overlap
ihuti,huti,hay,ihuti N;SG;BANTU9,Substring Overlap
ritwa,ritwa,[Translation Missing],ritwa,No Lexicon Match
gaya,gayania,divide,gaya DET;POSS;PSS1P;BANTU6,Substring Overlap
Kieru,eru,[Translation Missing],eru ADJ;BANTU7,No Lexicon Match
munegeni,munega,[Translation Missing],munega V;PRS;HAB;2;PL,No Lexicon Match
thira,huthira,use,thira,Substring Overlap
Matumbi,tumbi,egg,uMatumbi N;PL;BANTU2,PanLex Exact Match
kiumwo,kiumwo,[Translation Missing],kiumwo N;SG;BANTU15,No Lexicon Match
kanuaini,kanua,mouth,kanua V;PST;REC;3;SG,PanLex Exact Match
Kamamiriria,inamiriria,"bend, twist, hook, hook (pull down branches in plucking fruit)",miriria V;PRS;HAB;3;SG,Substring Overlap
Ituura,tuura,[Translation Missing],tuura V;PRS,No Lexicon Match
Muhakana,hakana,"be adjacent, border",uMuhakana N;SG;BANTU1,Substring Overlap
ndikirite,kira,"wear, be quiet, clothe, place, put",ndikirita V;PST;REC;1;SG,PanLex Exact Match
thoni,hona,"escape, recover",thona V;PRS,Substring Overlap
uciaragwo,ciara,bear child,uciaragwo N;SG;BANTU1,Substring Overlap
Ikuruma,ruma,"bite, abuse",ruma V;NFIN,PanLex Exact Match
gukahuka,gukahuka,[Translation Missing],gukahuka V;PRS;PROG;3;SG,No Lexicon Match
tiga,tiga,"leave, leave (off)",tiga V;PST;REC;1;SG,PanLex Exact Match
ini,ini,liver,ini DET;PROX;BANTU9,PanLex Exact Match
Aikaragia,ragia,[Translation Missing],ragia V;PRS;PROG;3;SG,No Lexicon Match
uimbo,uimbo,[Translation Missing],uimbo N;SG;BANTU1,No Lexicon Match
maiyuria,iyuria,fill,maiyuria N;PL;BANTU6,Substring Overlap
nikio,nikio,[Translation Missing],nikio N;SG;BANTU9,No Lexicon Match
ugiraga,giraga,[Translation Missing],giraga V;PRS,No Lexicon Match
ngaragu,ngaragu,[Translation Missing],ngaragu N;SG;BANTU9,No Lexicon Match
mugongo,mugongo,back,mugongo N;SG;BANTU1,PanLex Exact Match
ahoyage,hoya,ask for,hoyaga V;PST;REC;3;SG,Substring Overlap
Mugurira,rira,"cry, wail, trickle away, disappear, fade",gurira V;PRS,Substring Overlap
Karatu,kara,"charcoal, embers, deny",Karatu N;SG;BANTU15,Substring Overlap
mbwe,mbwe,[Translation Missing],mbwe N;SG;BANTU1,No Lexicon Match
ihugagia,huga,get wet,hugagia V;PRS,Substring Overlap
gitihakagwo,haka,"polish, boundary",gitihakagwo N;SG;BANTU10,Substring Overlap
Matuku,tuku,night,uMatuku N;PL;BANTU2,PanLex Exact Match
ndairagio,iragio,[Translation Missing],ndairagio N;PL;BANTU10,No Lexicon Match
kingi,kingi,[Translation Missing],kingi PRO;INT;INTENS,No Lexicon Match
kiaringio,ringio,[Translation Missing],ringio V;PST;REC;3;SG,No Lexicon Match
Cionje,onja,[Translation Missing],Cionje N;SG;BANTU10,No Lexicon Match
ndakoragwo,koragwo,[Translation Missing],ndakoragwo N;PL;BANTU10,No Lexicon Match
akaria,ria,"milk, breast, lake",ria V;PST;REC;3;SG,PanLex Exact Match
gitithiragwo,gitithiragwo,[Translation Missing],gitithiragwo N;SG;BANTU10,No Lexicon Match
Guthuragwo,hura,"wash, wash (clothes), rub, beat",Guthuragwo N;SG;BANTU14,Substring Overlap
mungu,mungu,[Translation Missing],mungu N;SG;BANTU1,No Lexicon Match
kwagira,kuhagira nyungu,"put on the fire, put (a pot) on the fire",agira V;PST;REC;3;SG,Substring Overlap
Ikinya,nya,"four, calabash",INTJ,PanLex Exact Match
ngia,ngia,[Translation Missing],ngia DET;POSS;PSS1P;BANTU9,No Lexicon Match
ndarundagwo,rundagwo,[Translation Missing],rundagwo V;PST;REC;1;SG,No Lexicon Match
ahikanaga,hikanaga,[Translation Missing],ahikanaga N;SG;BANTU1,No Lexicon Match
akihetwo,hetwo,[Translation Missing],hetwo V;PRS;PROG;3;SG,No Lexicon Match
kiongagirirwo,giri,"two, warthog, enclosure, fence",kiongagirirwo N;SG;BANTU15,Substring Overlap
gatinyuaga,gatinyuaga,[Translation Missing],gatinyuaga V;PST,No Lexicon Match
utari,utari,[Translation Missing],utari N;SG;BANTU1,No Lexicon Match
mukoroku,koro,skin,mukoroku N;SG;BANTU1,Substring Overlap
Kanira,kanira,[Translation Missing],Kanira,No Lexicon Match
kuiya,iya,steal,iya V;NFIN,PanLex Exact Match
ngio,ngio,[Translation Missing],ngio DET;POSS;PSS1P;BANTU9,No Lexicon Match
Mugogo,mugogo,bridge,uMugogo,PanLex Exact Match
Muhikana,hakana,"be adjacent, border",uMuhikana N;SG;BANTU1,Substring Overlap
athiaga,thia,"point, tip, highest point, utmost, keep livestock",thiaga V;PRS,Substring Overlap
Igwa,igwa,thorn,igwa N;SG;BANTU10,PanLex Exact Match
Kugunirwo,nuguna,"grumble, grunt",guna V;PRS;HAB;3;SG,Substring Overlap
igutha,gutha,[Translation Missing],igutha N;SG;BANTU9,No Lexicon Match
kiarua,arua,[Translation Missing],arua V;PST;REC;3;SG,No Lexicon Match
Kari,karima,hill,kari PRO;INT;INT,Substring Overlap
muoyo,muoyo,[Translation Missing],muoyo N;SG;BANTU1,No Lexicon Match
agirire,gira uhoro,take leave of,gira V;PST;REC;3;SG,Substring Overlap
Mukuru,muku,ashes,mukuru N;SG;BANTU1,Substring Overlap
gitiraragirio,giri,"two, warthog, enclosure, fence",gitiraragirio V;PRS;HAB;3;SG,Substring Overlap
kiabaca,baca,[Translation Missing],baca V;PST;REC;3;SG,No Lexicon Match
wayo,wayo,[Translation Missing],wayo DET;POSS;PSS1P;BANTU1,No Lexicon Match
kuna,kuna,[Translation Missing],kuna V;PRS,No Lexicon Match
onete,neta,[Translation Missing],oneta V;PST;REC;2;SG,No Lexicon Match
kuru,kuruka,"rest, take a holiday",kuru DET;POSS;PSS1P;BANTU15,Substring Overlap
utatumwo,utatumwo,[Translation Missing],utatumwo N;SG;BANTU1,No Lexicon Match
Haro,haro,[Translation Missing],haro,No Lexicon Match
ngime,ngime,[Translation Missing],ngime N;SG;BANTU9,No Lexicon Match
Kigina,gina,[Translation Missing],gina V;PRS;HAB;3;SG,No Lexicon Match
mbaara,mbaara,[Translation Missing],uMbaara,No Lexicon Match
munge,munge,[Translation Missing],munge PRO;INT;BANTU1,No Lexicon Match
Murogi,rogi,"witchcraft, sorcerer",uMurogi N;SG;BANTU1,PanLex Exact Match
kayo,kayo,[Translation Missing],kayo,No Lexicon Match
ngiha,ha,[Translation Missing],ngiha N;SG;BANTU9,No Lexicon Match
ithekaga,theka,laugh,thekaga V;PRS,Substring Overlap
itiyuraga,uraga,"kill, break, snap",itiyuraga N;SG;BANTU9,Substring Overlap
ndaiyuragia,yuragia,[Translation Missing],yuragia V;PST,No Lexicon Match
kuhiga,higa,stone,higa V;PST;REC;3;SG,PanLex Exact Match
Muciriri,ciri,"shin, shin (bone)",uMuciriri N;SG;BANTU1,Substring Overlap
Kurima,rima,"cultivate, mountain, hill, hole, pit, nest",rima V;PRS;PROG;3;SG,PanLex Exact Match
nducokaga,coka,"return, go back",cokaga V;PRS,Substring Overlap
ikigua,gua,"fall, hear",gua V;PRS;HAB;3;SG,PanLex Exact Match
itiumaga,tiumaga,[Translation Missing],itiumaga N;SG;BANTU9,No Lexicon Match
gutinia,gutinia,slash,gutinia V;PRS,PanLex Exact Match
ki,ki,honey,ki PRO;INT;INT,PanLex Exact Match
rirekagia,gia,[Translation Missing],rirekagia V;PRS,No Lexicon Match
witeithitie,thita,penis,teithitia V;PST;REC;2;SG,PanLex Exact Match
Kamuingi,hingira,close,ingi ADJ;BANTU1,Substring Overlap
Iri,iri,body,iri DET;POSS;PSS1P;BANTU4,PanLex Exact Match
amwitaga,itaga,[Translation Missing],mwitaga V;PRS,No Lexicon Match
urutaga,ruta,"take off, take off (clothes)",urutaga N;SG;BANTU11,Substring Overlap
Ihenya,enya,shave,henya V;PRS,Substring Overlap
gute,guta,"idleness, sloth, oil, oil (from plants)",guta V;PST;REC;3;SG,PanLex Exact Match
ka,ka,"do, come",ka V;PRS,PanLex Exact Match
ndatukagirwo,tukagirwo,[Translation Missing],tukagirwo V;PST;REC;1;SG,No Lexicon Match
keri,keria,"please, satisfy",keri PRO;INT;INT,Substring Overlap
Maitho,maitho,"eye, organ, mince pie",uMaitho,PanLex Exact Match
mwithiomeri,thioma,[Translation Missing],mwithiomeri N;PL;BANTU1,No Lexicon Match
mucoka,coka,"return, go back",coka V;PRS,PanLex Exact Match
gitinyihaga,nyiha,"diminish, grow less",gitinyihaga N;SG;BANTU1,Substring Overlap
hatiganaine,gana,hundred,hatiganaine V;PST;REC;2;PL,Substring Overlap
nai,nai,[Translation Missing],nai PRO;INT;INTENS,No Lexicon Match
muura,muura,[Translation Missing],muura V;PRS,No Lexicon Match
kuuru,kuuruga,"mix, stir, mix (by stirring), stir up",kuuru N;SG;BANTU15,Substring Overlap
kihuno,kihuno,[Translation Missing],kihuno N;SG;BANTU15,No Lexicon Match
gatigaga,tiga,"leave, leave (off)",gatigaga V;PST,Substring Overlap
Mbaara,umba,"mould, mould (pottery)",uMbaara,Substring Overlap
uru,uru,bad,uru DET;PROX;BANTU1,PanLex Exact Match
uriendwo,uriendwo,[Translation Missing],enda V;PRS;PROG;2;SG,No Lexicon Match
kwigita,igita,[Translation Missing],igita N;SG;BANTU15,No Lexicon Match
mwire,mwire,[Translation Missing],mwire,No Lexicon Match
ngumo,ngumo,[Translation Missing],ngumo N;SG;BANTU10,No Lexicon Match
Maithori,maithori,tears,maithori N;PL;BANTU6,PanLex Exact Match
Kamau,mau,[Translation Missing],Kamau N;SG;BANTU15,No Lexicon Match
kuririrwo,riri,bed,kuririrwo V;NFIN,Substring Overlap
kuhitha,hitha,"light in weight, hide",hitha V;NFIN,PanLex Exact Match
Kuhura,hura,"wash, wash (clothes), rub, beat",hura V;PRS;HAB;3;SG,PanLex Exact Match
gatiagaga,agaga,[Translation Missing],gatiagaga V;PST,No Lexicon Match
cia,cia,[Translation Missing],Cia DET;PROX;BANTU7,No Lexicon Match
kiumu,kiumu,[Translation Missing],kiumu N;SG;BANTU15,No Lexicon Match
ngari,ngari,"leopard, car, automobile, a vehicle steered by a driver, Wain, auto, auto mechanic, automobile, cart, chariot, instrument, jamjar, motor car, motor vehicle, motor-car, motorcar, private car, single-minded, tram, voice mail, wain",ngari N;SG;BANTU9,PanLex Exact Match
kiene,ene,self,ene ADJ;BANTU7,PanLex Exact Match
Miguguta,guta,"idleness, sloth, oil, oil (from plants)",uMiguguta N;PL;BANTU4,Substring Overlap
gatukiriirie,iria,"that, milk, breast, lake",gatukiriiria V;PST;REC;3;SG,Substring Overlap
eguthii,uthi,pestle,eguthii N;SG;BANTU10,Substring Overlap
kirugite,ruga,"cook, stir",ruga V;PRS;HAB;3;SG,PanLex Exact Match
gicinga,cinga,gun,gicinga N;SG;BANTU1,PanLex Exact Match
Gitoi,toi,[Translation Missing],Gitoi N;SG;BANTU10,No Lexicon Match
igikua,igikua,[Translation Missing],igikua N;SG;BANTU9,No Lexicon Match
Kiega,ega,[Translation Missing],ega V;PRS;HAB;3;SG,No Lexicon Match
nduri,nduri,[Translation Missing],nduri N;SG;BANTU10,No Lexicon Match
ngeka,ngeka,[Translation Missing],ngeka N;SG;BANTU9,No Lexicon Match
thuti,huti,hay,thuti N;SG;BANTU11,Substring Overlap
kwihia,hihia,roast,ihia V;NFIN,Substring Overlap
matari,mata,spittle,uMatari N;PL;BANTU2,Substring Overlap
kuuga,uga,[Translation Missing],uga V;PRS;HAB;3;SG,No Lexicon Match
micii,micii,[Translation Missing],micii N;PL;BANTU4,No Lexicon Match
gitimuiragia,itimu,spear,gitimuiragia V;PRS,Substring Overlap
kigurumuki,guru,"sky, foot, leg, above, up, old, tortoise",gurumuki V;PRS;HAB;3;SG,Substring Overlap
Guoya,oya,"carry, take",Guoya V;PRS;HAB;3;SG,PanLex Exact Match
muhere,hera,[Translation Missing],here ADJ;BANTU1,No Lexicon Match
mwako,wako,[Translation Missing],mwako DET;POSS;PSS1P;BANTU1,No Lexicon Match
kiimba,imba,"corpse, swell",imba V;PRS,PanLex Exact Match
atumaga,tuma,"send, sew, woman",tumaga V;PRS,Substring Overlap
rir,rir,[Translation Missing],rir DET;POSS;PSS1P;BANTU5,No Lexicon Match
ndutura,ndutura,"dove, (red-eyed) dove",ndutura N;SG;BANTU9,PanLex Exact Match
ha,ha,[Translation Missing],ha V;PRS;HAB;3;SG,No Lexicon Match
itihanaine,itihanaine,[Translation Missing],itihanaine N;SG;BANTU9,No Lexicon Match
ndigwa,gwa,sugar cane,gwa V;PRS;HAB;1;SG,PanLex Exact Match
Mihehu,hehu,[Translation Missing],uMihehu N;SG;BANTU1,No Lexicon Match
njoya,njoya,"feathers, fur",njoya N;SG;BANTU9,PanLex Exact Match
Mbia,mbia,rat,mbia V;PRS,PanLex Exact Match
wendaga,enda,"love, want, need, wish",endaga V;PRS;HAB;2;SG,Substring Overlap
uikagia,ika,do,gia V;PRS;HAB;2;SG,Isolated Root Exact Match
mahitukaga,hituka,"pass, surpass",hitukaga V;PST;REC;2;PL,Substring Overlap
ndoi,ndoi,[Translation Missing],ndoi DET;POSS;PSS1P;BANTU9,No Lexicon Match
Kurita,mambarita,thatched roof,rita V;PRS;PROG;3;SG,Substring Overlap
itega,tega,[Translation Missing],tega V;PRS,No Lexicon Match
ngetho,ngetho,[Translation Missing],ngetho N;SG;BANTU9,No Lexicon Match
gia,gia,[Translation Missing],gia V;PRS,No Lexicon Match
itikagio,itikagio,[Translation Missing],itikagio N;SG;BANTU9,No Lexicon Match
kagira,gira uhoro,take leave of,gira V;PST;REC;3;SG,Substring Overlap
rikii,ikia,"plunge into, sink, (cause to) sink, thrust into",rikii,Substring Overlap
kiumia,kiumia,"Sunday, week",umia V;PRS,PanLex Exact Match
Ithe,tha,"leave, permission",tha V;PST;REC;3;SG,PanLex Exact Match
gateire,gate,"head-pad, bread",gatea V;PST;REC;3;SG,Substring Overlap
ndiri,ndiriaga nyama,"I don’t eat meat, I don't eat meat",ndiri N;SG;BANTU9,Substring Overlap
gatiagararagwo,agararagwo,[Translation Missing],gatiagararagwo V;FUT,No Lexicon Match
gako,wako,[Translation Missing],gako DET;POSS;PSS1P;BANTU6,No Lexicon Match
warwarire,rwara,fingernail,rwara V;PST;REC;2;SG,PanLex Exact Match
itiriraga,rira,"cry, wail, trickle away, disappear, fade",tiriraga V;PRS,Substring Overlap
aari,mwari wa nyine,"brother, sister, (her) brother, (his) sister",ari PRO;INT;INTENS,Substring Overlap
Muimwo,umuimwo,[Translation Missing],uMuimwo N;SG;BANTU1,No Lexicon Match
muhenania,henania,[Translation Missing],muhenania V;PRS,No Lexicon Match
ni,ni,liver,ni COP;IDENT,PanLex Exact Match
Githaka,githaka,"bush, thicket",Githaka V;PRS,PanLex Exact Match
kariina,riina,[Translation Missing],kariina V;PST,No Lexicon Match
nyoni,nyoni,[Translation Missing],nyoni N;SG;BANTU9,No Lexicon Match
uriru,uriru,[Translation Missing],uriru N;SG;BANTU1,No Lexicon Match
Ikuura,ura,"get lost, frog, leak, ooze out",ura V;NFIN,PanLex Exact Match
uriukagwo,uriukagwo,[Translation Missing],uriukagwo N;SG;BANTU1,No Lexicon Match
iguru,iguru,"sky, above, up",iguru,PanLex Exact Match
utawakire,mwaka,year,waka V;FUT,Substring Overlap
kihinju,kihinju,[Translation Missing],kihinju N;SG;BANTU15,No Lexicon Match
nyina,nyina,[Translation Missing],nyina N;SG;BANTU9,No Lexicon Match
moranwo,moranwo,[Translation Missing],moranwo N;SG;BANTU1,No Lexicon Match
ngondu,ngondu,[Translation Missing],ngondu N;SG;BANTU10,No Lexicon Match
ndurume,gombo ya mundurume,male slave,ndurume N;SG;BANTU10,Substring Overlap
rwaro,waro,[Translation Missing],rwaro,No Lexicon Match
mbaa,mbaa,[Translation Missing],mbaa V;PRS,No Lexicon Match
gacuguma,gacuguma,[Translation Missing],gacuguma V;PST,No Lexicon Match
mutumia,mutumia,"wife, married woman, spouse, Frau, Miss, Mrs, Mrs., Ms, Ms., bride, female, femme, girl, lady, little woman, madam, missus, mistress, old woman, signora, squaw, wifey, woman",mutumia N;SG;BANTU1,PanLex Exact Match
ndeto,ndeto,[Translation Missing],ndeto N;SG;BANTU9,No Lexicon Match
mukuru,muku,ashes,mukuru N;SG;BANTU1,Substring Overlap
muguguta,guta,"idleness, sloth, oil, oil (from plants)",guguta V;PRS,Substring Overlap
Muikia,ikia,"plunge into, sink, (cause to) sink, thrust into",ikia V;PRS,PanLex Exact Match
Mucangacangi,cangacangi,[Translation Missing],uMucangacangi N;SG;BANTU1,No Lexicon Match
Kamuhuthua,thua,termite,muhuthua V;PST;REC;3;SG,Substring Overlap
mugaire,gaa,[Translation Missing],mugaire N;SG;BANTU1,No Lexicon Match
Mathanwa,thanwa,axe,thanwa V;PST;REC;3;SG,PanLex Exact Match
ndugukagwo,gwo,[Translation Missing],ndugukagwo N;SG;BANTU10,No Lexicon Match
wonagwo,onagwo,[Translation Missing],wonagwo DET;POSS;PSS1P;BANTU1,No Lexicon Match
ruhuho,giririria ruhuho,break wind,ruhuho,Substring Overlap
Ku,ku,"ashes, die",Ku DET;PROX;BANTU15,PanLex Exact Match
rua,rua,fight,rua V;NFIN,PanLex Exact Match
uguithagia,thagi,buttermilk,guithagia V;PRS,Substring Overlap
Irio,ndirenda irio,I need food,irio,Substring Overlap
ndukore,gokora,elbow,ndukore N;SG;BANTU11,Substring Overlap
migogo,gogo,"bridge, crow",migogo,Substring Overlap
Kungu,kungu,[Translation Missing],Kungu N;SG;BANTU15,No Lexicon Match
gaka,mwaka,year,gaka,Substring Overlap
kendagia,enda,"love, want, need, wish",kendagia V;PRS,Substring Overlap
Kaana,kaana,[Translation Missing],Kaana N;SG;BANTU15,No Lexicon Match
ndangimiona,ona,[Translation Missing],ona V;PST;REC;1;SG,No Lexicon Match
muigwa,igwa,thorn,igwa V;PRS,PanLex Exact Match
Kiruka,ruka,"rest, take a holiday",Kiruka V;PRS;HAB;3;SG,Substring Overlap
Kuria,ria,"milk, breast, lake",ria V;PRS;PROG;3;SG,PanLex Exact Match
runene,nene,"great, powerful, chief, large, master",nene ADJ;BANTU11,PanLex Exact Match
kigiragio,giragio,[Translation Missing],kigiragio N;SG;BANTU15,No Lexicon Match
ainagira,gira uhoro,take leave of,gira V;PST;REC;3;SG,Substring Overlap
Guthii,uthi,pestle,Guthii N;SG;BANTU14,Substring Overlap
